service_id,date,exception_type
1006H5_20241230_20250203_Ma,20241230,2
1006H5_20241230_20250203_To,20250102,2
1006H5_20241230_20250203_Pe,20250103,2
1006H5_20241230_20250203_Ma,20250106,2
1006H5_20241230_20250203_Su,20250106,1
1006H5_20241230_20250203_Ti,20241231,2
1006H5_20241230_20250203_Ke,20250101,2
1006H6_20241209_20241229_To,20241226,2
1006H6_20241209_20241229_Ti,20241224,2
1006H6_20241209_20241229_Ke,20241225,2
1006H6_20241209_20241229_Pe,20241227,2
1006H6_20241209_20241229_Su,20241226,1
1006H6_20241230_20250203_Ma,20241230,2
1006H6_20241230_20250203_To,20250102,2
1006H6_20241230_20250203_Pe,20250103,2
1006H6_20241230_20250203_Ma,20250106,2
1006H6_20241230_20250203_Su,20250106,1
1006H6_20241230_20250203_Ti,20241231,2
1006H6_20241230_20250203_Ke,20250101,2
1007_20241209_20241229_To,20241226,2
1007_20241209_20241229_Ti,20241224,2
1007_20241209_20241229_Ke,20241225,2
1007_20241209_20241229_Pe,20241213,2
1007_20241209_20241229_Pe,20241227,2
1007_20241209_20241229_Su,20241226,1
1007_20241230_20250203_Ma,20241230,2
1007_20241230_20250203_To,20250102,2
1007_20241230_20250203_Pe,20250103,2
1007_20241230_20250203_Ma,20250106,2
1007_20241230_20250203_Su,20250106,1
1007_20241230_20250203_Ti,20241231,2
1007_20241230_20250203_Ke,20250101,2
1007 5_20241209_20241229_To,20241226,2
1007 5_20241209_20241229_Ti,20241224,2
1007 5_20241209_20241229_Ke,20241225,2
1007 5_20241209_20241229_Pe,20241213,2
1007 5_20241209_20241229_Pe,20241227,2
1007 5_20241209_20241229_Su,20241226,1
1007 5_20241230_20250203_Ma,20241230,2
1007 5_20241230_20250203_To,20250102,2
1007 5_20241230_20250203_Pe,20250103,2
1007 5_20241230_20250203_Ma,20250106,2
1007 5_20241230_20250203_Su,20250106,1
1007 5_20241230_20250203_Ti,20241231,2
1007 5_20241230_20250203_Ke,20250101,2
1007 6_20241209_20241229_To,20241226,2
1007 6_20241209_20241229_Ti,20241224,2
1007 6_20241209_20241229_Ke,20241225,2
1007 6_20241209_20241229_Pe,20241213,2
1007 6_20241209_20241229_Pe,20241227,2
1007 6_20241209_20241229_Su,20241226,1
1007 6_20241230_20250203_Ma,20241230,2
1007 6_20241230_20250203_To,20250102,2
1007 6_20241230_20250203_Pe,20250103,2
1007 6_20241230_20250203_Ma,20250106,2
1007 6_20241230_20250203_Su,20250106,1
1007 6_20241230_20250203_Ti,20241231,2
1007 6_20241230_20250203_Ke,20250101,2
1007H5_20241209_20241229_To,20241226,2
1007H5_20241209_20241229_Ti,20241224,2
1007H5_20241209_20241229_Ke,20241225,2
1007H5_20241209_20241229_Pe,20241213,2
1007H5_20241209_20241229_Pe,20241227,2
1007H5_20241209_20241229_Su,20241226,1
1007H5_20241230_20250203_Ma,20241230,2
1007H5_20241230_20250203_To,20250102,2
1007H5_20241230_20250203_Pe,20250103,2
1007H5_20241230_20250203_Ma,20250106,2
1007H5_20241230_20250203_Su,20250106,1
1007H5_20241230_20250203_Ti,20241231,2
1007H5_20241230_20250203_Ke,20250101,2
1007H6_20241209_20241229_To,20241226,2
1007H6_20241209_20241229_Ti,20241224,2
1007H6_20241209_20241229_Ke,20241225,2
1007H6_20241209_20241229_Pe,20241213,2
1007H6_20241209_20241229_Pe,20241227,2
1007H6_20241209_20241229_Su,20241226,1
1007H6_20241230_20250203_Ma,20241230,2
1007H6_20241230_20250203_To,20250102,2
1007H6_20241230_20250203_Pe,20250103,2
1007H6_20241230_20250203_Ma,20250106,2
1007H6_20241230_20250203_Su,20250106,1
1007H6_20241230_20250203_Ti,20241231,2
1007H6_20241230_20250203_Ke,20250101,2
1008_20241209_20241229_Ti,20241224,2
1008_20241209_20241229_Ke,20241225,2
1008_20241209_20241229_To,20241226,2
1008_20241209_20241229_Pe,20241227,2
1008_20241230_20250203_Ma,20241230,2
1008_20241230_20250203_Ti,20241231,2
1008_20241230_20250203_Ke,20250101,2
1008_20241230_20250203_To,20250102,2
1008_20241230_20250203_Pe,20250103,2
1008_20241230_20250203_Ma,20250106,2
1008 5_20241209_20241229_To,20241226,2
1008 5_20241209_20241229_Ti,20241224,2
1008 5_20241209_20241229_Ke,20241225,2
1008 5_20241209_20241229_Pe,20241227,2
1008 5_20241209_20241229_Su,20241226,1
1008 5_20241230_20250203_Ma,20241230,2
1008 5_20241230_20250203_To,20250102,2
1008 5_20241230_20250203_Pe,20250103,2
1008 5_20241230_20250203_Ma,20250106,2
1008 5_20241230_20250203_Su,20250106,1
1008 5_20241230_20250203_Ti,20241231,2
1008 5_20241230_20250203_Ke,20250101,2
1008 6_20241209_20241229_Ti,20241224,2
1008 6_20241209_20241229_Ke,20241225,2
1008 6_20241209_20241229_To,20241226,2
1008 6_20241209_20241229_Pe,20241227,2
1008 6_20241230_20250203_Ma,20241230,2
1008 6_20241230_20250203_Ti,20241231,2
1008 6_20241230_20250203_Ke,20250101,2
1008 6_20241230_20250203_To,20250102,2
1008 6_20241230_20250203_Pe,20250103,2
1008 6_20241230_20250203_Ma,20250106,2
1008H3_20241209_20241229_Su,20241226,1
1008H5_20241209_20241229_Ke,20241225,2
1008H5_20241209_20241229_To,20241226,2
1008H5_20241209_20241229_Pe,20241227,2
1008H5_20241209_20241229_Ti,20241224,2
1008H5_20241209_20241229_Su,20241226,1
1008H5_20241230_20250203_Ma,20241230,2
1008H5_20241230_20250203_Ti,20241231,2
1008H5_20241230_20250203_To,20250102,2
1008H5_20241230_20250203_Pe,20250103,2
1008H5_20241230_20250203_Ma,20250106,2
1008H5_20241230_20250203_Su,20250106,1
1008H5_20241230_20250203_Ke,20250101,2
1008H6_20241209_20241229_Ti,20241224,2
1008H6_20241209_20241229_Ke,20241225,2
1008H6_20241209_20241229_To,20241226,2
1008H6_20241209_20241229_Pe,20241227,2
1008H6_20241230_20250203_Ma,20241230,2
1008H6_20241230_20250203_Ti,20241231,2
1008H6_20241230_20250203_Ke,20250101,2
1008H6_20241230_20250203_To,20250102,2
1008H6_20241230_20250203_Pe,20250103,2
1008H6_20241230_20250203_Ma,20250106,2
1008H7_20241209_20241229_Su,20241226,1
1008H7_20241230_20250203_Su,20250106,1
1008T_20241209_20241229_Su,20241226,1
1008T_20241230_20250203_Su,20250106,1
1008T4_20241209_20241229_Su,20241226,1
1008T6_20241209_20241229_Su,20241226,1
1008T6_20241230_20250203_Su,20250106,1
1009_20241209_20241229_To,20241226,2
1009_20241209_20241229_Ti,20241224,2
1009_20241209_20241229_Ke,20241225,2
1009_20241209_20241229_Pe,20241213,2
1009_20241209_20241229_Pe,20241227,2
